session_id,pages_visited,time_on_site,cart_value,abandoned
SID114,12,286,211.84,0
SID115,12,599,205.63,0
SID116,13,556,125.4,0
SID117,9,191,9.54,1
SID118,13,192,176.96,0
SID119,13,553,79.66,0
SID120,1,300,137.83,0
SID121,9,521,287.49,0
SID122,7,237,122.72,0
SID123,9,568,252.74,1
SID124,8,89,60.62,1
SID125,1,459,203.38,1
SID126,12,338,293.22,1
SID127,8,549,35.06,0
SID128,8,56,7.45,0
SID129,11,591,132.91,1
SID130,3,228,32.32,0
SID131,1,416,225.77,1
SID132,8,378,274.79,1
SID133,3,565,133.04,0
SID134,3,407,81.32,0
SID135,1,587,133.15,1
SID136,11,556,218.42,0
SID137,5,182,7.67,0
SID138,10,235,178.89,0
SID139,7,484,185.92,0
SID140,10,302,193.12,0
SID141,9,265,76.4,0
SID142,12,550,215.65,0
SID143,7,530,31.96,0
SID144,9,146,63.78,0
SID145,8,415,263.85,1
SID146,12,373,222.92,0
SID147,2,424,9.05,0
SID148,1,93,78.27,0
SID149,7,101,68.25,0
SID150,7,303,84.89,0
SID151,14,349,78.03,0
SID152,8,367,23.45,1
SID153,5,395,140.39,0
SID154,3,524,221.16,0
SID155,12,195,183.99,1
SID156,8,573,203.5,0
SID157,6,40,28.94,0
SID158,11,330,285.69,1
SID159,3,131,252.36,1
SID160,1,454,242.5,1
SID161,3,421,247.78,0
SID162,5,243,280.15,1
SID163,14,117,165.55,0
SID164,3,582,64.08,0
SID165,1,430,186.95,1
SID166,5,75,224.15,1
SID167,10,492,222.69,1
SID168,7,339,158.83,0
SID169,14,115,25.2,0
SID170,7,121,114.48,0
SID171,11,271,276.63,1
SID172,9,31,177.41,1
SID173,10,254,163.81,0
SID174,10,145,84.31,0
SID175,12,132,113.69,0
SID176,13,223,269.13,1
SID177,3,195,201.61,1
SID178,7,119,237.28,1
SID179,1,151,139.03,1
SID180,4,172,190.92,1
SID181,13,135,78.27,0
SID182,4,457,213.11,0
SID183,14,334,131.14,0
SID184,5,346,135.55,0
SID185,7,38,196.55,1
SID186,7,102,281.2,1
SID187,13,388,23.88,0
SID188,11,252,248.3,0
SID189,13,445,91.25,0
SID190,4,582,135.96,0
SID191,13,399,11.46,1
SID192,7,293,93.81,0
SID193,11,347,153.28,0
SID194,3,113,21.57,0
SID195,6,347,149.87,0
SID196,12,140,278.5,1
SID197,2,280,36.09,0
SID198,10,412,230.51,0
SID199,13,36,125.85,1
SID200,14,488,198.28,0
SID201,9,113,81.77,0
SID202,5,237,52.05,1
SID203,6,419,52.34,1
SID204,12,343,25.8,0
SID205,12,51,59.77,1
SID206,12,439,200.94,0
SID207,12,544,265.1,1
SID208,4,156,245.17,1
SID209,14,43,207.11,1
SID210,14,41,37.58,0
SID211,11,116,90.31,0
SID212,10,553,96.39,0
SID213,7,566,78.74,0
SID214,12,330,156.93,0
SID215,9,272,162.99,0
SID216,7,151,110.28,0
SID217,14,176,109.37,0
SID218,1,596,249.42,1
SID219,1,385,237.84,1
SID220,9,338,95.8,0
SID221,11,317,274.57,1
SID222,14,336,286.08,1
SID223,9,578,101.39,0
SID224,4,381,109.56,0
SID225,13,341,154.16,0
SID226,9,88,282.63,1
SID227,3,64,263.51,0
SID228,7,474,35.26,0
SID229,6,122,120.86,1
SID230,8,236,168.24,0
SID231,11,382,153.42,0
SID232,9,361,62.19,0
SID233,14,188,258.35,1
SID234,5,53,204.7,1
SID235,1,433,252.18,1
SID236,3,545,258.34,1
SID237,10,393,225.76,0
SID238,12,411,134.57,0
SID239,8,561,185.11,0
SID240,11,181,52.31,0
SID241,6,591,203.73,0
SID242,8,449,57.88,0
SID243,9,279,209.72,0
SID244,4,146,72.73,0
SID245,1,541,39.68,0
SID246,14,364,53.76,0
SID247,1,447,5.59,0
SID248,10,324,217.03,0
SID249,4,400,221.06,1
SID250,12,215,156.91,0
SID251,14,275,52.6,0
SID252,7,297,29.65,0
SID253,2,266,10.64,0
SID254,3,559,53.9,0
SID255,1,581,267.8,0
SID256,5,50,76.25,1
SID257,1,549,109.51,1
SID258,8,129,36.08,0
SID259,1,507,70.6,0
SID260,11,327,158.17,0
SID261,1,555,184.29,1
SID262,2,363,77.38,0
SID263,2,31,22.03,0
SID264,12,404,120.35,0
SID265,6,322,74.09,1
SID266,7,582,69.77,0
SID267,5,347,288.16,1
SID268,1,531,186.81,0
SID269,1,410,169.28,1
SID270,3,43,127.65,1
SID271,14,533,131.54,0
SID272,2,260,164.57,0
SID273,5,113,210.45,1
SID274,12,159,212.13,1
SID275,10,174,55.65,0
SID276,6,57,152.53,1
SID277,7,95,126.53,1
SID278,4,192,261.81,1
SID279,7,258,191.27,0
SID280,11,290,162.09,0
SID281,8,478,39.04,0
SID282,11,453,183.66,0
SID283,1,489,39.58,0
SID284,6,330,104.48,0
SID285,8,332,47.14,0
SID286,5,316,209.16,1
SID287,4,424,65.84,0
SID288,2,39,120.6,1
SID289,6,299,269.22,1
SID290,6,390,65.27,0
SID291,11,286,154.8,0
SID292,1,162,128.69,1
SID293,9,305,10.35,1
SID294,12,542,238.86,0
SID295,11,342,25.37,0
SID296,6,313,144.91,0
SID297,13,150,170.4,0
SID298,3,136,190.39,1
SID299,4,233,208.15,0
SID300,12,194,79.72,0
SID301,11,334,7.94,0
SID302,4,526,218.42,0
SID303,3,585,163.02,0
SID304,10,185,251.65,1
SID305,3,396,247.31,0
SID306,3,280,253.78,1
SID307,4,363,148.1,0
SID308,7,540,103.42,0
SID309,4,322,238.51,0
SID310,9,49,138.13,1
SID311,1,311,59.12,0
SID312,8,30,257.22,1
SID313,7,148,265.36,1
SID314,2,64,142.56,1
SID315,8,227,27.33,0
SID316,1,514,119.41,1
SID317,11,88,242.04,0
SID318,12,190,271.02,1
SID319,9,235,65.02,0
SID320,9,41,24.76,0
SID321,2,519,263.82,1
SID322,7,305,119.87,1
SID323,14,271,164.82,1
SID324,10,245,290.58,1
SID325,3,280,24.64,0
SID326,7,155,196.25,1
SID327,12,246,26.86,0
SID328,10,335,115.76,0
SID329,9,214,242.13,1
SID330,4,68,132.87,1
SID331,12,252,299.17,0
SID332,1,213,169.92,1
SID333,2,524,99.74,0
SID334,1,456,69.93,0
SID335,14,207,108.4,0
SID336,12,457,114.9,0
SID337,5,323,25.27,0
SID338,5,180,114.02,0
SID339,11,413,141.95,0
SID340,7,337,218.21,0
SID341,9,365,198.74,0
SID342,9,404,214.09,0
SID343,3,37,7.47,0
SID344,3,370,69.21,0
SID345,3,158,200.2,1
SID346,4,381,147.78,0
SID347,8,387,6.57,0
SID348,6,546,242.33,0
SID349,8,524,232.98,0
SID350,1,115,166.78,1
SID351,8,204,24.61,0
SID352,4,222,231.12,0
SID353,11,340,177.2,0
SID354,1,148,235.68,0
SID355,8,247,226.77,0
SID356,4,456,241.89,0
SID357,6,443,157.81,0
SID358,8,143,46.4,0
SID359,4,174,202.99,1
SID360,14,567,188.04,0
SID361,3,332,223.96,0
SID362,14,374,55.11,0
SID363,9,30,62.52,1
SID364,3,176,267.67,1
SID365,9,316,226.24,0
SID366,13,82,272.93,1
SID367,2,333,228.82,0
SID368,14,98,181.16,1
SID369,2,390,197.97,1
SID370,2,249,267.29,1
SID371,6,190,175.75,0
SID372,3,118,191.56,1
SID373,13,188,51.16,0
SID374,9,518,144.81,0
SID375,4,353,216.34,0
SID376,1,410,84.93,0
SID377,4,131,64.66,0
SID378,1,523,97.58,1
SID379,14,48,76.24,1
SID380,5,483,68.4,0
SID381,4,511,130.33,0
SID382,8,426,272.81,1
SID383,8,308,154.58,0
SID384,7,394,60.44,0
SID385,3,360,27.71,0
SID386,1,373,210.37,1
SID387,1,484,117.93,1
SID388,12,94,247.44,1
SID389,11,105,199.56,1
SID390,3,172,239.89,1
SID391,6,502,85.22,0
SID392,7,446,209.25,0
SID393,6,334,82.9,0
SID394,14,526,282.03,1
SID395,14,320,192.73,0
SID396,6,131,100.73,0
SID397,6,296,84.51,0
SID398,13,32,61.32,1
SID399,3,114,209.92,1
SID400,6,357,69.52,0
SID401,8,479,180.61,0
SID402,11,483,83.07,0
SID403,11,250,200.28,0
SID404,2,183,245.41,1
SID405,5,41,234.52,1
SID406,14,162,229.45,1
SID407,1,333,60.38,0
SID408,12,322,31.07,0
SID409,1,329,211.19,1
SID410,5,72,113.66,1
SID411,12,372,132.54,0
SID412,13,355,14.19,0
SID413,3,527,81.58,1
SID414,4,393,14.93,0
SID415,3,456,264.36,1
SID416,1,50,76.8,1
SID417,1,436,169.41,1
SID418,12,365,16.5,0
SID419,12,146,201.72,1
SID420,14,153,100.29,0
SID421,13,428,269.89,1
SID422,14,80,266.99,1
SID423,5,353,100.96,0
SID424,6,170,270.78,1
SID425,3,499,298.87,1
SID426,12,363,248.5,0
SID427,9,402,254.24,1
SID428,5,593,78.46,0
SID429,8,523,175.13,0
SID430,13,568,24.84,0
SID431,1,185,33.0,0
SID432,14,320,299.67,1
SID433,5,173,101.36,0
SID434,3,135,225.71,1
SID435,12,449,242.97,0
SID436,1,31,258.12,1
SID437,4,119,299.3,1
SID438,13,374,76.24,0
SID439,5,379,16.9,0
SID440,7,488,126.3,0
SID441,1,292,43.37,0
SID442,3,380,11.62,0
SID443,2,137,111.33,1
SID444,9,68,236.2,0
SID445,10,188,172.02,0
SID446,6,341,97.27,0
SID447,10,270,198.03,0
SID448,3,474,73.45,0
SID449,8,327,9.24,0
SID450,14,65,230.48,1
SID451,8,113,189.0,1
SID452,2,481,229.88,0
SID453,6,414,16.49,0
SID454,7,201,251.95,1
SID455,2,405,187.76,0
SID456,11,391,171.2,0
SID457,10,588,189.26,0
SID458,2,170,260.01,1
SID459,10,147,178.15,1
SID460,1,306,176.38,1
SID461,8,249,297.25,1
SID462,1,55,228.24,1
SID463,9,550,135.48,1
SID464,11,39,213.68,1
SID465,6,407,119.82,0
SID466,7,181,72.52,0
SID467,13,78,181.07,1
SID468,10,183,278.81,0
SID469,7,322,279.1,1
SID470,10,79,105.86,1
SID471,3,560,160.66,0
SID472,2,89,67.43,0
SID473,9,196,298.71,1
SID474,8,231,294.43,0
SID475,13,175,196.61,1
SID476,12,468,242.3,0
SID477,10,271,215.95,0
SID478,7,590,179.98,0
SID479,9,512,20.74,0
SID480,4,137,139.16,1
SID481,13,255,204.06,0
SID482,4,461,204.87,0
SID483,1,448,115.07,1
SID484,8,484,282.8,1
SID485,14,189,54.37,0
SID486,14,552,152.61,0
SID487,12,106,208.81,1
SID488,3,538,210.66,0
SID489,7,470,196.35,0
SID490,12,283,86.21,0
SID491,2,349,51.08,0
SID492,2,292,192.6,1
SID493,7,583,181.79,0
SID494,6,403,57.91,0
SID495,3,196,213.02,1
SID496,9,488,139.28,0
SID497,10,309,201.99,0
SID498,14,331,252.02,1
SID499,13,560,55.07,0
SID500,6,247,10.65,0
SID501,10,131,234.84,1
SID502,10,583,184.86,1
SID503,6,317,211.39,0
SID504,1,196,252.26,0
SID505,4,65,241.83,1
SID506,10,382,288.47,1
SID507,6,102,163.1,1
SID508,6,382,149.11,0
SID509,11,99,123.56,1
SID510,12,454,50.34,0
SID511,5,590,173.92,0
SID512,1,546,86.72,1
SID513,8,457,276.79,1
SID514,5,568,177.04,0
SID515,12,189,179.89,0
SID516,12,178,109.7,0
SID517,12,259,20.34,0
SID518,5,591,14.36,0
SID519,7,96,129.88,1
SID520,4,410,29.95,0
SID521,6,87,184.02,1
SID522,13,288,264.89,1
SID523,4,371,265.46,1
SID524,14,159,199.42,1
SID525,3,201,67.31,0
SID526,7,238,259.58,1
SID527,8,383,266.4,1
SID528,4,500,63.01,0
SID529,13,145,222.54,1
SID530,2,293,89.52,0
SID531,12,471,241.78,1
SID532,10,577,299.19,1
SID533,14,482,13.86,0
SID534,3,506,269.72,1
SID535,1,316,188.68,1
SID536,8,332,292.15,1
SID537,3,340,142.18,0
SID538,12,237,254.98,1
SID539,10,475,23.41,0
SID540,7,84,103.91,0
SID541,10,41,24.77,0
SID542,5,429,292.73,1
SID543,10,544,246.01,0
SID544,5,571,256.5,1
SID545,14,266,281.7,1
SID546,7,308,30.11,0
SID547,9,377,118.75,0
SID548,12,133,25.96,0
SID549,5,546,67.18,0
SID550,1,277,72.66,0
SID551,10,393,143.39,0
SID552,10,350,84.23,0
SID553,1,315,34.79,0
SID554,2,178,54.41,0
SID555,14,113,48.45,1
SID556,6,435,292.06,1
SID557,9,485,228.99,0
SID558,8,190,290.49,1
SID559,13,489,134.72,0
SID560,5,579,87.12,0
SID561,1,529,240.5,1
SID562,13,538,101.24,0
SID563,7,510,93.32,0
SID564,5,143,73.59,0
SID565,6,390,43.26,0
SID566,13,370,80.66,0
SID567,7,478,109.82,0
SID568,3,209,203.83,0
SID569,12,436,23.46,0
SID570,10,225,67.1,0
SID571,3,495,243.66,0
SID572,5,340,48.34,0
SID573,6,291,106.08,0
SID574,9,448,260.07,1
SID575,13,435,50.7,1
SID576,14,172,29.41,0
SID577,12,371,147.94,1
SID578,5,345,94.21,0
SID579,1,130,171.21,1
SID580,14,273,242.12,0
SID581,14,519,45.46,0
SID582,14,41,176.31,1
SID583,4,268,154.13,0
SID584,5,590,47.5,0
SID585,12,71,189.08,1
SID586,10,458,85.72,0
SID587,10,187,148.91,0
SID588,5,245,29.27,0
SID589,7,491,140.58,0
SID590,4,163,95.41,0
SID591,1,96,247.6,1
SID592,14,36,21.81,0
SID593,14,555,128.49,0
SID594,5,102,140.24,1
SID595,7,428,218.88,1
SID596,10,434,174.41,0
SID597,10,159,201.83,1
SID598,6,495,234.23,0
SID599,5,235,259.35,1
SID600,4,295,97.59,0
SID601,2,566,163.72,1
SID602,4,282,252.83,1
SID603,10,318,296.89,1
SID604,10,193,267.41,1
SID605,3,124,114.58,0
SID606,10,139,62.57,0
SID607,1,365,149.37,1
SID608,8,267,223.78,0
SID609,5,410,150.31,0
SID610,13,465,147.54,1
SID611,4,512,252.28,1
SID612,8,54,111.61,1
SID613,7,146,258.64,1
SID614,2,511,125.01,0
SID615,1,421,101.83,0
SID616,12,566,138.93,0
SID617,11,108,229.92,1
SID618,4,202,42.17,0
SID619,8,41,62.94,1
SID620,12,157,285.68,1
SID621,2,121,56.77,0
SID622,3,572,172.48,1
SID623,12,561,175.9,0
SID624,1,476,149.44,1
SID625,1,419,195.2,1
SID626,13,72,72.8,1
SID627,3,283,168.04,0
SID628,11,159,114.79,0
SID629,5,89,200.19,1
SID630,12,496,46.66,0
SID631,3,316,173.41,0
SID632,1,546,59.65,0
SID633,1,496,87.2,1
SID634,8,374,69.52,1
SID635,10,411,58.94,0
SID636,11,282,248.58,0
SID637,12,85,89.28,0
SID638,13,492,278.5,1
SID639,13,486,291.13,1
SID640,12,112,173.52,0
SID641,14,128,47.19,0
SID642,2,178,115.49,0
SID643,13,358,240.33,0
SID644,3,185,113.38,0
SID645,2,219,30.67,0
SID646,3,523,169.25,0
SID647,7,292,254.31,1
SID648,1,109,239.8,1
SID649,10,429,56.66,0
SID650,8,289,203.47,0
SID651,13,581,70.05,0
SID652,10,130,69.37,0
SID653,10,388,262.85,1
SID654,10,409,78.65,1
SID655,14,250,82.66,0
SID656,2,449,5.19,0
SID657,3,153,261.85,1
SID658,9,451,238.82,0
SID659,7,260,190.06,0
SID660,4,92,226.33,1
SID661,10,514,49.85,0
SID662,5,512,140.21,0
SID663,2,548,108.61,0
SID664,13,184,32.66,0
SID665,11,121,148.41,0
SID666,13,555,276.62,1
SID667,8,484,16.82,0
SID668,4,539,90.98,1
SID669,9,212,66.22,1
SID670,5,415,75.25,0
SID671,13,434,272.99,1
SID672,9,275,143.08,0
SID673,4,500,142.56,0
SID674,10,452,229.37,0
SID675,5,94,50.58,0
SID676,9,42,148.74,0
SID677,8,242,131.85,0
SID678,3,271,181.09,0
SID679,1,522,299.87,1
SID680,3,242,231.99,0
SID681,4,367,122.37,0
SID682,2,202,249.13,0
SID683,1,193,55.36,0
SID684,7,494,13.99,0
SID685,8,526,65.31,0
SID686,7,424,105.42,0
SID687,14,337,155.62,0
SID688,5,212,186.46,0
SID689,12,539,273.63,1
SID690,1,575,155.41,1
SID691,7,593,152.88,0
SID692,13,256,19.82,0
SID693,7,465,15.3,0
SID694,9,451,167.59,0
SID695,3,583,134.26,0
SID696,9,50,252.56,1
SID697,14,583,52.4,0
SID698,1,426,12.37,1
SID699,1,134,137.47,1
SID700,14,221,75.06,0
SID701,4,46,19.64,0
SID702,9,149,218.76,1
SID703,6,422,37.92,0
SID704,13,454,184.45,0
SID705,11,158,87.91,1
SID706,3,159,56.18,0
SID707,1,589,117.03,1
SID708,4,58,241.43,1
SID709,12,126,120.67,1
SID710,13,39,226.48,1
SID711,9,271,42.02,0
SID712,3,261,232.97,0
SID713,12,313,74.9,0
SID714,9,229,204.83,0
SID715,7,108,171.91,1
SID716,12,202,279.1,1
SID717,14,496,119.26,0
SID718,4,445,24.52,0
SID719,3,478,10.65,0
SID720,10,116,248.92,1
SID721,5,130,159.8,1
SID722,5,37,233.7,1
SID723,3,229,74.16,0
SID724,12,534,106.8,0
SID725,9,116,13.88,0
SID726,4,72,288.64,1
SID727,11,414,202.02,0
SID728,5,464,280.3,1
SID729,4,437,83.32,0
SID730,5,512,185.38,0
SID731,7,46,205.16,1
SID732,9,177,98.68,0
SID733,7,306,255.19,1
SID734,13,261,284.41,1
SID735,5,395,266.03,1
SID736,10,257,223.02,0
SID737,10,465,86.85,0
SID738,7,428,88.08,0
SID739,14,240,289.19,1
SID740,10,420,8.03,0
SID741,5,528,216.23,0
SID742,3,569,213.34,0
SID743,7,592,188.69,0
SID744,13,520,297.08,1
SID745,11,471,97.0,0
SID746,11,290,105.29,0
SID747,2,379,28.29,0
SID748,12,381,135.63,0
SID749,9,549,82.01,0
SID750,10,349,106.3,0
SID751,10,167,251.2,1
SID752,12,579,280.97,1
SID753,1,397,59.79,0
SID754,13,249,114.89,0
SID755,6,366,278.95,1
SID756,7,252,23.23,0
SID757,14,389,32.25,0
SID758,13,358,53.02,0
SID759,8,492,180.59,0
SID760,10,590,49.39,0
SID761,9,411,290.58,1
SID762,2,198,136.78,0
SID763,11,246,152.95,0
SID764,10,407,77.76,0
SID765,2,148,143.93,1
SID766,5,219,200.26,0
SID767,13,399,226.6,0
SID768,5,178,227.39,0
SID769,6,517,175.48,0
SID770,3,403,271.79,1
SID771,8,189,246.14,1
SID772,13,380,228.33,0
SID773,1,317,21.4,0
SID774,6,317,7.03,0
SID775,4,255,67.67,0
SID776,1,552,200.74,1
SID777,7,551,126.3,0
SID778,9,302,123.71,0
SID779,13,431,265.95,1
SID780,4,212,269.19,1
SID781,4,517,273.21,1
SID782,6,153,97.59,0
SID783,12,443,208.86,0
SID784,3,201,85.13,0
SID785,13,317,61.23,0
SID786,12,464,59.47,0
SID787,6,142,105.92,0
SID788,7,151,131.84,0
SID789,11,573,250.13,1
SID790,10,251,40.37,0
SID791,10,68,221.8,1
SID792,3,526,161.78,0
SID793,7,262,89.94,0
SID794,14,559,150.38,0
SID795,3,178,93.48,0
SID796,13,426,180.84,0
SID797,13,331,132.98,1
SID798,2,389,53.5,0
SID799,12,267,39.39,0
SID800,14,265,166.28,0
SID801,10,232,271.21,1
SID802,4,285,106.47,0
SID803,12,264,221.24,0
SID804,8,374,199.31,1
SID805,13,563,279.81,1
SID806,9,495,247.19,0
SID807,7,570,172.15,0
SID808,1,242,198.82,1
SID809,3,492,270.02,1
SID810,13,465,122.86,0
SID811,12,312,101.4,0
SID812,14,591,8.19,0
SID813,9,492,248.83,0
SID814,12,436,241.29,1
SID815,1,117,35.81,0
SID816,9,73,175.17,1
SID817,8,490,141.87,0
SID818,1,307,40.02,0
SID819,6,450,294.27,1
SID820,5,382,68.34,0
SID821,6,544,24.83,0
SID822,10,48,180.48,1
SID823,12,52,222.97,1
SID824,13,442,14.57,0
SID825,13,59,199.32,1
SID826,13,137,162.03,1
SID827,5,396,35.46,0
SID828,6,310,55.89,0
SID829,5,157,172.55,0
SID830,11,258,92.43,0
SID831,12,140,281.8,1
SID832,5,165,246.53,1
SID833,4,391,295.15,1
SID834,3,215,81.6,0
SID835,3,158,291.07,1
SID836,4,290,132.21,0
SID837,9,544,107.52,0
SID838,2,478,19.85,0
SID839,9,133,20.57,0
SID840,1,512,209.14,1
SID841,14,253,140.09,0
SID842,1,520,71.82,0
SID843,5,502,186.12,0
SID844,6,39,79.59,0
SID845,6,434,175.4,1
SID846,3,331,110.97,0
SID847,7,260,247.95,0
SID848,9,95,247.11,1
SID849,11,141,145.82,1
SID850,12,42,108.49,1
SID851,10,422,111.96,0
SID852,8,529,242.69,0
SID853,6,263,101.81,0
SID854,12,343,66.67,0
SID855,8,595,29.98,0
SID856,12,41,142.67,1
SID857,5,238,147.23,1
SID858,8,43,253.07,1
SID859,10,447,70.27,0
SID860,12,466,117.39,0
SID861,4,406,243.48,0
SID862,10,49,247.97,1
SID863,8,99,118.46,0
SID864,10,240,140.44,0
SID865,12,130,94.47,0
SID866,2,161,280.1,1
SID867,12,410,40.0,0
SID868,12,161,280.46,1
SID869,5,49,206.74,1
SID870,9,565,161.81,0
SID871,4,256,14.63,0
SID872,11,183,145.3,0
SID873,6,498,125.29,1
SID874,1,434,52.56,0
SID875,9,231,198.64,0
SID876,1,67,291.49,1
SID877,5,217,170.85,0
SID878,4,86,215.85,1
SID879,13,49,25.19,0
SID880,12,302,128.21,0
SID881,13,148,39.33,0
SID882,13,545,185.77,0
SID883,14,250,281.85,1
SID884,3,555,200.22,0
SID885,13,544,27.66,0
SID886,6,365,109.63,0
SID887,2,84,167.45,0
SID888,3,529,123.95,1
SID889,5,565,250.92,1
SID890,9,191,245.33,1
SID891,2,188,185.49,1
SID892,10,217,115.17,1
SID893,8,89,80.32,0
SID894,14,348,36.23,0
SID895,2,240,109.69,0
SID896,11,435,126.89,0
SID897,13,138,204.37,1
SID898,5,105,199.16,1
SID899,7,571,25.68,0
SID900,8,343,121.6,0
SID901,1,146,58.62,0
SID902,6,48,51.26,1
SID903,1,461,249.05,1
SID904,2,379,17.36,0
SID905,1,212,128.66,1
SID906,11,142,54.62,0
SID907,5,212,264.4,1
SID908,10,510,169.33,0
SID909,9,175,73.26,0
SID910,6,142,153.22,1
SID911,11,505,220.79,0
SID912,11,332,287.64,1
SID913,1,147,70.03,0
SID914,13,190,266.42,1
SID915,1,430,280.62,1
SID916,2,227,275.34,1
SID917,9,289,192.45,0
SID918,3,76,190.8,1
SID919,1,428,123.95,1
SID920,5,588,226.96,0
SID921,7,107,161.73,1
SID922,6,153,204.84,1
SID923,12,104,131.4,1
SID924,1,166,220.79,1
SID925,5,429,248.22,0
SID926,5,534,48.2,0
SID927,6,529,250.71,1
SID928,3,167,164.39,0
SID929,5,79,254.18,1
SID930,7,283,132.23,0
SID931,5,592,116.82,0
SID932,5,455,274.94,1
SID933,5,576,79.09,0
SID934,10,331,254.04,1
SID935,10,378,147.79,0
SID936,3,78,156.66,1
SID937,1,103,96.0,1
SID938,5,290,174.05,0
SID939,14,385,100.94,0
SID940,9,289,16.58,0
SID941,14,324,85.24,0
SID942,1,342,6.88,0
SID943,3,211,293.61,1
SID944,13,393,289.9,1
SID945,13,217,121.57,0
SID946,4,598,219.87,0
SID947,14,572,107.01,0
SID948,1,577,202.97,1
SID949,1,437,242.6,1
SID950,8,443,284.29,1
SID951,2,371,123.06,0
SID952,12,249,236.07,0
SID953,8,192,83.45,0
SID954,7,249,297.15,1
SID955,10,299,12.6,0
SID956,10,429,183.04,0
SID957,2,211,199.55,0
SID958,6,234,207.97,0
SID959,6,585,40.51,0
SID960,3,257,281.87,0
SID961,11,279,58.45,0
SID962,2,470,188.71,0
SID963,12,562,70.69,0
SID964,1,225,95.63,1
SID965,6,548,166.21,0
SID966,12,99,128.07,1
SID967,5,428,52.27,0
SID968,14,232,55.43,0
SID969,14,177,128.35,0
SID970,11,501,228.4,0
SID971,9,228,269.9,1
SID972,1,455,29.82,1
SID973,7,521,120.97,0
SID974,5,171,34.57,0
SID975,5,342,9.89,0
SID976,14,194,200.21,1
SID977,2,343,182.72,1
SID978,11,50,53.09,1
SID979,3,111,73.97,0
SID980,7,160,11.99,0
SID981,6,334,251.31,1
SID982,12,400,292.53,1
SID983,2,413,44.96,0
SID984,6,474,73.29,1
SID985,2,454,261.18,1
SID986,2,190,278.31,1
SID987,2,207,128.79,0
SID988,14,519,19.93,0
SID989,11,356,16.62,0
SID990,3,318,174.32,0
SID991,2,383,120.9,0
SID992,4,57,13.45,0
SID993,9,72,177.06,1
SID994,6,452,8.33,0
SID995,1,206,237.27,1
SID996,8,558,95.4,0
